author	time	parents	message	sha	changes	additions	deletions	files
Colin-Shaw2	2020-02-28 23:23:20	['9baa97a7eeca28a947cc22d7f831db6aa1da1299']	run 8 refund 4	a1c468823a5bc504918fa194bca0ebdb00f102cf	[5, 4, 16]	[1, 0, 14]	[4, 4, 2]	['Tests/Refund/refund4/input.txt', 'Tests/Refund/refund4/output.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 23:17:58	['b7368af3d52bcccc62b03babf98d51d89b90ad15', '9baa97a7eeca28a947cc22d7f831db6aa1da1299']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	2405b374f62c6ebfaeae31fc88b4376ae7b54b58	[2, 2, 4, 40, 2, 4, 6]	[1, 1, 2, 0, 1, 2, 5]	[1, 1, 2, 40, 1, 2, 1]	['Tests/Refund/refund1/transactionoutputs.txt', 'Tests/Refund/refund3/input.txt', 'Tests/Refund/refund3/output.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 23:16:23	['1202a7116c76a58cf324b353629b8aba7efd81fd']	Run#8 bid1 fix	b7368af3d52bcccc62b03babf98d51d89b90ad15	[2, 4, 4, 13, 33, 14, 2, 6, 15, 7]	[1, 2, 2, 2, 12, 3, 1, 3, 6, 4]	[1, 2, 2, 11, 21, 11, 1, 3, 9, 3]	['Tests/Bid/bid1/output.txt', 'Tests/Bid/bid1/transactionoutputs.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-28 22:50:30	['22cbc6233217fdfe880350b84fef5620aa709846']	run 8 refund3	9baa97a7eeca28a947cc22d7f831db6aa1da1299	[2, 2, 4]	[1, 1, 2]	[1, 1, 2]	['Tests/Refund/refund1/transactionoutputs.txt', 'Tests/Refund/refund3/input.txt', 'Tests/Refund/refund3/output.txt']	
Colin-Shaw2	2020-02-28 22:40:58	['289801e90b31a5ab339a205b03a6cd349eeb3447']	run 8 fixed test refund 1	22cbc6233217fdfe880350b84fef5620aa709846	[5, 2, 4, 2]	[3, 1, 2, 1]	[2, 1, 2, 1]	['specificTest.sh', 'src/class/Admin.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-28 22:17:19	['1202a7116c76a58cf324b353629b8aba7efd81fd']	Run 8 del4 fixed	289801e90b31a5ab339a205b03a6cd349eeb3447	[4]	[4]	[0]	['src/class/main.cpp']	
SiyavashGh	2020-02-28 21:20:06	['899639d3e62282967534938c41d0f979dcf2d6f0']	Run8 newUser5 fixed, newUser fixed	1202a7116c76a58cf324b353629b8aba7efd81fd	[6, 32, 56, 5, 11, 17, 11, 2]	[6, 10, 18, 5, 3, 5, 3, 1]	[0, 22, 38, 0, 8, 12, 8, 1]	['TestResults/testTable.csv', 'Tests/CreateNewUser/NewUser5/testOutput.txt', 'Tests/CreateNewUser/newUser1/testOutput.txt', 'Tests/CreateNewUser/newUser1/testTransactions.txt', 'Tests/CreateNewUser/newUser2/testOutput.txt', 'Tests/CreateNewUser/newUser3/testOutput.txt', 'Tests/CreateNewUser/newUser4/testOutput.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 21:11:57	['bef2653d30db7df56980db77d021e34fbc83accd']	Run#8 newUser4 fix	899639d3e62282967534938c41d0f979dcf2d6f0	[2, 2]	[1, 1]	[1, 1]	['Tests/CreateNewUser/newUser4/input.txt', 'Tests/CreateNewUser/newUser4/output.txt']	
SiyavashGh	2020-02-28 21:06:23	['232db02477096898d9288ce5a8255ad40406a9bc']	Run#8 newUser3 fix	bef2653d30db7df56980db77d021e34fbc83accd	[4, 43]	[2, 41]	[2, 2]	['Tests/CreateNewUser/newUser3/output.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 20:58:26	['0f6e3e440d6c091a4e1902565682f1a45b8d93b7']	Run8 newUser1 fix	232db02477096898d9288ce5a8255ad40406a9bc	[6, 4, 2, 7]	[3, 2, 1, 1]	[3, 2, 1, 6]	['Tests/CreateNewUser/newUser1/output.txt', 'specificTest.sh', 'src/class/User.cpp', 'src/class/main.cpp']	
